amp_attack,amp_decay,amp_release,amp_sustain,arp_frequency,arp_gate,arp_octaves,arp_on,arp_pattern,arp_sync,arp_tempo,beats_per_minute,cross_modulation,cutoff,delay_dry_wet,delay_feedback,delay_frequency,delay_on,delay_sync,delay_tempo,distortion_drive,distortion_mix,distortion_on,distortion_type,fil_attack,fil_decay,fil_env_depth,fil_release,fil_sustain,filter_blend,filter_drive,filter_on,filter_saturation,filter_shelf,filter_style,filter_type,formant_on,formant_x,formant_y,keytrack,legato,mod_attack,mod_decay,mod_release,mod_sustain,mono_lfo_1_amplitude,mono_lfo_1_frequency,mono_lfo_1_retrigger,mono_lfo_1_sync,mono_lfo_1_tempo,mono_lfo_1_waveform,mono_lfo_2_amplitude,mono_lfo_2_frequency,mono_lfo_2_retrigger,mono_lfo_2_sync,mono_lfo_2_tempo,mono_lfo_2_waveform,noise_volume,num_steps,osc_1_transpose,osc_1_tune,osc_1_unison_detune,osc_1_unison_voices,osc_1_volume,osc_1_waveform,osc_2_transpose,osc_2_tune,osc_2_unison_detune,osc_2_unison_voices,osc_2_volume,osc_2_waveform,osc_feedback_amount,osc_feedback_transpose,osc_feedback_tune,osc_mix,pitch_bend_range,poly_lfo_amplitude,poly_lfo_frequency,poly_lfo_sync,poly_lfo_tempo,poly_lfo_waveform,polyphony,portamento,portamento_type,resonance,reverb_damping,reverb_dry_wet,reverb_feedback,reverb_on,step_frequency,step_seq_00,step_seq_01,step_seq_02,step_seq_03,step_seq_04,step_seq_05,step_seq_06,step_seq_07,step_seq_08,step_seq_09,step_seq_10,step_seq_11,step_seq_12,step_seq_13,step_seq_14,step_seq_15,step_seq_16,step_seq_17,step_seq_18,step_seq_19,step_seq_20,step_seq_21,step_seq_22,step_seq_23,step_seq_24,step_seq_25,step_seq_26,step_seq_27,step_seq_28,step_seq_29,step_seq_30,step_seq_31,step_sequencer_retrigger,step_sequencer_sync,step_sequencer_tempo,step_smoothing,stutter_frequency,stutter_on,stutter_resample_frequency,stutter_resample_sync,stutter_resample_tempo,stutter_softness,stutter_sync,stutter_tempo,sub_octave,sub_shuffle,sub_volume,sub_waveform,unison_1_harmonize,unison_2_harmonize,velocity_track,volume,Modulation1Source,Modulation1Destination,Modulation1Amount,Modulation2Source,Modulation2Destination,Modulation2Amount,Modulation3Source,Modulation3Destination,Modulation3Amount,Modulation4Source,Modulation4Destination,Modulation4Amount,Modulation5Source,Modulation5Destination,Modulation5Amount,Modulation6Source,Modulation6Destination,Modulation6Amount,Modulation7Source,Modulation7Destination,Modulation7Amount,Modulation8Source,Modulation8Destination,Modulation8Amount,Modulation9Source,Modulation9Destination,Modulation9Amount,Modulation10Source,Modulation10Destination,Modulation10Amount,Modulation11Source,Modulation11Destination,Modulation11Amount,Modulation12Source,Modulation12Destination,Modulation12Amount,Modulation13Source,Modulation13Destination,Modulation13Amount,Modulation14Source,Modulation14Destination,Modulation14Amount,Modulation15Source,Modulation15Destination,Modulation15Amount,Modulation16Source,Modulation16Destination,Modulation16Amount
0.09140626,0.4458586,0.2352941,0,2,0.5,1,0,0,1,9,2,0,127,0.5,0.4,2,0,1,9,7.344374,1,1,0,1.941176,0,0,0,0,0,20,1,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.4904753,0,22,0,0,15,0.07300465,2,-0.008000016,0,0,0,0,1,1,1,7,0,1,-9,0,0,0.5,0.06,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,1,0.1951614,0,0,0,0.008000016,0.8040313,4,48,56.448,4,42,57.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2936581,0.2352941,0,2,0.5,1,0,0,1,9,2,0.066,127,0.5,0.4,2,0,1,9,17.76,1,1,0,2.285846,0,0,0,0,0,0,0,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.4053495,0,22,0,0,15,0.2927317,5,0.01600003,0,0.05599999,0,0,1,1,1,7,0,1,-9,0,0,0.5,0.001091628,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,1,0.7071068,2,0,0,0.008000016,0.9242923,4,42,57.216,4,48,56.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5294118,0.5882353,0,2,0.5,1,0,0,1,9,2,0.202,127,0.5,0.4,2,0,1,9,17.76,1,1,0,1.117647,0,0,0,0,0,0,0,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.4928738,0,22,0,0,15,0.08411583,10,0.01600003,0,0.05599999,0,0,1,1,1,7,0,1,-9,0,0,0.5,0.001091628,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0,0.4412346,10,0,0,0.008000016,0.6649585,4,42,11.52,4,48,15.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5298713,0.3,0,2,0.5,1,0,0,1,9,2,0.218,91.25155,0.5,0.4,2,0,1,9,9.536743E-07,1,1,0,0,1.235294,0,1.5,0,1,0,1,0,0,0,0,0,0.4571429,0.6036036,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0.236,8,48,0,0,15,0.4279908,1,33,0,0,15,0.2585032,1,-0.584,0,0,0,2,1,1,1,7,0,1,-9,0,0.9444444,0.5,0.4521104,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.52,0.7071068,0,0,0,0.008000016,0.8413804,4,40,0.38,4,11,51.38658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.584559,0.3,0,2,0.5,1,0,0,1,9,2,0.442,65.20923,0.5,0.4,2,0,1,9,0,1,1,0,0,0.3550781,0,1.5,0,1,2.713,1,0,0,0,0,0,0.4571429,0.6036036,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0.176,8,48,0,0,15,0.2375422,1,33,0,0,15,0.3686655,1,-0.584,0,0,0,2,1,1,1,7,0,1,-9,0,1,0.5,0.4521104,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.52,0.2610853,9,0,0,0.008000016,0.8413804,4,40,0.38,4,11,56.48096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.8226104,0.1176471,0,2,0.5,1,0,0,1,9,2,0.5,112.5625,0.5,0.4,2,0,1,9,-6.292969,1,1,0,0.3529412,0,0,0,0,1,0,1,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.4912761,0,48,0,0,15,0.09299354,10,0.768,0,0.05599999,0,0,1,1,1,7,0,1,-9,0,0.8680556,0.5,0.04597048,0.8392,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0,0.4412346,10,0,0,0,0.8110097,4,48,15.744,4,42,11.52,4,11,-6.483102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5882353,0.1176471,0,2,0.5,1,0,0,1,9,2,0.5,112.5625,0.5,0.4,2,0,1,9,0,1,1,0,0.3529412,0,0,0,0,1,0,1,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.4912761,0,48,0,0,15,0.09299354,10,0.768,0,0.05599999,0,0,1,1,1,7,0,1,-9,0,0.8680556,0.5,0.04597048,0.8392,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0,0.4412346,10,0,0,0,0.8110097,4,11,-6.483102,4,42,11.52,4,48,15.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.7054228,0.1176471,0,2,0.5,1,0,0,1,9,2,0.188,92.725,0.5,0.4,2,0,1,9,20.64,1,1,0,1.350643,0,0,0,0,0,-12,1,0,0,0,0,0,0.5571429,0.8198198,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.3885143,0,-11,0,0,15,0.3147326,10,0.184,0,-0.312,0,0,1,1,1,7,0,1,-9,0,0.4444444,0.5,0.04597048,0.8392,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0,0.3733523,10,0,0,-0.07999998,0.8110097,4,48,15.744,4,42,11.52,4,11,-6.483102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.7054228,0.1176471,0,2,0.5,1,0,0,1,9,2,0,107.9875,0.5,0.4,2,0,1,9,12,1,1,0,0.1176471,0,0,0,0,0,0,1,0,0,0,0,0,0.5571429,0.8198198,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-12,0,0,15,0.4683371,0,20,0.01600003,0,15,0.1751011,3,0.184,0,-0.312,0,0,1,1,1,7,0,1,-9,0,0.006944444,0.5,0,0.8392,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0,0.3733523,10,0,0,0,0.8851351,4,11,-6.483102,4,42,11.52,4,48,15.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4126838,0.1171875,0,2,0,4,0,3,1,9,2,0.5,99.325,0.5,0.4,2,0,1,9,12,1,1,0,0,0.8203126,41.98399,0,0,0,-12,1,0,1,2,0,0,0.5,0.5,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,32,0,11.6,13,0.4338888,0,48,0,0,15,0.2718444,6,0.288,0,0,0,2,1,1,1,7,0,1,-9,0,1,0.812,0.01329348,0.8352,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4.024,1,4,0,6,0.148,0,8,1,0.976,0.6137686,0,1,1,0,0.7123087,4,11,26.4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
