amp_attack,amp_decay,amp_release,amp_sustain,arp_frequency,arp_gate,arp_octaves,arp_on,arp_pattern,arp_sync,arp_tempo,beats_per_minute,cross_modulation,cutoff,delay_dry_wet,delay_feedback,delay_frequency,delay_on,delay_sync,delay_tempo,distortion_drive,distortion_mix,distortion_on,distortion_type,fil_attack,fil_decay,fil_env_depth,fil_release,fil_sustain,filter_blend,filter_drive,filter_on,filter_saturation,filter_shelf,filter_style,filter_type,formant_on,formant_x,formant_y,keytrack,legato,mod_attack,mod_decay,mod_release,mod_sustain,mono_lfo_1_amplitude,mono_lfo_1_frequency,mono_lfo_1_retrigger,mono_lfo_1_sync,mono_lfo_1_tempo,mono_lfo_1_waveform,mono_lfo_2_amplitude,mono_lfo_2_frequency,mono_lfo_2_retrigger,mono_lfo_2_sync,mono_lfo_2_tempo,mono_lfo_2_waveform,noise_volume,num_steps,osc_1_transpose,osc_1_tune,osc_1_unison_detune,osc_1_unison_voices,osc_1_volume,osc_1_waveform,osc_2_transpose,osc_2_tune,osc_2_unison_detune,osc_2_unison_voices,osc_2_volume,osc_2_waveform,osc_feedback_amount,osc_feedback_transpose,osc_feedback_tune,osc_mix,pitch_bend_range,poly_lfo_amplitude,poly_lfo_frequency,poly_lfo_sync,poly_lfo_tempo,poly_lfo_waveform,polyphony,portamento,portamento_type,resonance,reverb_damping,reverb_dry_wet,reverb_feedback,reverb_on,step_frequency,step_seq_00,step_seq_01,step_seq_02,step_seq_03,step_seq_04,step_seq_05,step_seq_06,step_seq_07,step_seq_08,step_seq_09,step_seq_10,step_seq_11,step_seq_12,step_seq_13,step_seq_14,step_seq_15,step_seq_16,step_seq_17,step_seq_18,step_seq_19,step_seq_20,step_seq_21,step_seq_22,step_seq_23,step_seq_24,step_seq_25,step_seq_26,step_seq_27,step_seq_28,step_seq_29,step_seq_30,step_seq_31,step_sequencer_retrigger,step_sequencer_sync,step_sequencer_tempo,step_smoothing,stutter_frequency,stutter_on,stutter_resample_frequency,stutter_resample_sync,stutter_resample_tempo,stutter_softness,stutter_sync,stutter_tempo,sub_octave,sub_shuffle,sub_volume,sub_waveform,unison_1_harmonize,unison_2_harmonize,velocity_track,volume,Modulation1Source,Modulation1Destination,Modulation1Amount,Modulation2Source,Modulation2Destination,Modulation2Amount,Modulation3Source,Modulation3Destination,Modulation3Amount,Modulation4Source,Modulation4Destination,Modulation4Amount,Modulation5Source,Modulation5Destination,Modulation5Amount,Modulation6Source,Modulation6Destination,Modulation6Amount,Modulation7Source,Modulation7Destination,Modulation7Amount,Modulation8Source,Modulation8Destination,Modulation8Amount,Modulation9Source,Modulation9Destination,Modulation9Amount,Modulation10Source,Modulation10Destination,Modulation10Amount,Modulation11Source,Modulation11Destination,Modulation11Amount,Modulation12Source,Modulation12Destination,Modulation12Amount,Modulation13Source,Modulation13Destination,Modulation13Amount,Modulation14Source,Modulation14Destination,Modulation14Amount,Modulation15Source,Modulation15Destination,Modulation15Amount,Modulation16Source,Modulation16Destination,Modulation16Amount
0.1,0.7647059,0.1518842,0,2,0.5,1,0,0,1,9,2.333333,0.088,101.626,0.04597049,0.136,2,1,2,9,-2.504999,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,36,0,0,1,0.7730822,1,12,0,0,1,0.5560767,7,0,0,0,0,2,1,1,1,7,0,3,-9,0,0.6619718,0.18,0.1705731,0.9608,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0,2,0,0,0,1.038935,11,10,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1030681,1.5,1.139273,0,2,0.178625,2,0,3,1,9,2,0.01140625,118.3375,0.4014844,-0.6466563,2,0,1,9,12,1,1,0,0,2.07962,0,2.191465,0.32,0,-12,1,0,0,0,0,0,0.5,0.5,1,0,0.1,0.4347593,1.5,0,1,1,1,3,7,0,1,1,0,1,3,0,0,8,0,0,0,7,0.3642097,3,7,0,0,7,0.1997496,3,0.7224687,-7,0.295625,0,2,1,1,1,7,0,4,-9,0,0.6875,0.5,0.5090469,0.867725,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.1945969,2,1,1,0,1.049984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.764706,1.588235,0,2,0.84,1,0,0,1,8,2,0.222,52.95798,0.5,0.4,2,0,1,9,-6.779062,1,1,0,0,0.5347593,38.85904,1.941176,0.48,0,-8.366,1,0,0,0,0,0,0.4714286,0.5225225,0,0,0,0,0,0,0.8591549,1.988,0,0,6,1,1,1,0,3,8,2,0.2258064,8,0,0,0,1,0.6555751,0,0,0.03200006,6,1,0.6510165,2,0,0,0,0,2,1,1,1,6,0,4,-9,0,0.4014085,0.5,0.5,0.9,1,2,-0.01204824,-0.01204824,-0.3012048,-0.4939759,-0.2771084,-0.08433735,0.1234939,-0.01204824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1.84,0,-7,1,6,0.568,1,8,0,0,0,1,0,0,0.136,1.117621,11,43,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.197657,1.176471,0.8341798,2,0.5,1,0,0,1,9,2,0.07000002,54.62185,0.5,0.4,2,0,1,9,3.341923,1,1,0,0,1.190731,79.81903,1.941176,0.4411765,0,-12,1,0,0,0,0,0,0.4714286,0.5225225,0,0,0.2352941,1.028936,1.5,0.14,0.8591549,1.988,0,0,6,1,1,1,0,3,8,2,0.3225806,8,0,0,0,1,0.6555751,3,0,0.08000004,0,1,0.6103281,3,0,0,0,0,2,1,1,1,6,0,4,-8.68,2,0.1901408,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0.412,0.4482945,1,1,1,0,1.084552,11,43,0.032,7,43,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.58438,0.03982794,0.1336019,2,0.5,1,0,0,1,9,2,0,51.5054,0.5,0.4,2,0,1,9,-7.899652,1,1,0,0,1.483593,43.05263,1.5,0.09919429,0,-12,1,0,0,2,0,0,0.5,0.5,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,0,0,10,1,0.4545143,3,0,0,10,1,0,0,0,0,0,0,2,1,1,1,7,0,4,-9,0,1,0.5,0.02445874,0.9921149,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,1,1,1,8,0.1711042,1,9,0,0,0,2,0,0,0,1.020259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4,0.3,1,2,0.5,1,0,0,1,9,2.333333,0,121.1765,0.05087751,0.1279999,2,1,1,8,-6.312198,1,0,0,0.1,1.5,0,1.5,0.5,0,-0.3505,1,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,0,-0.12,0,15,0.4284734,3,0,0.1162311,0,15,0.4331715,3,0,0,0,0,2,1,1,1,7,0,4,-9,0,0.2112676,0.148,0.150225,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.1140495,3,0,0,0,0.9505414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4,0.3,1,2,0.5,1,0,0,1,9,2.333333,0,80,0.1268855,0.3279999,2,1,1,8,-1.15875,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,0,-0.12,0,5,0.5496199,3,0,0.1162311,0,5,0.5414379,3,0,0,0,0,2,1,1,1,7,0,4,-9,0,0,0.148,0.150225,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.2402872,3,0,0,0,0.8225804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.583898,1.117647,0.8382353,2,0.5,1,0,0,0,9,2,0.136,81.65966,0.329288,0.2079999,1.546641,1,0,11,8.17875,1,1,0,0.2352941,2.07962,46.08,1.5,0.2,0,-12,1,0,0,0,0,0,0.4785714,0.4774775,0.5680001,1,0.1,1.860784,1.5,0.47,0.8591549,2.872,0,0,10,0,0.3239436,1,0,1,6,12,0,8,0,0,0,1,0.705268,3,12,0.104,0,1,0.7188308,3,-0.03199995,0,0,0,2,0.971831,-5.128,0,7,4,1,-9,0,0.6126761,0.5,0.2403561,0.9,1,2,-0.2048193,0.3493977,0.1325301,-0.1325301,0.3012048,0.5180722,-0.3012048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,1,1,6,0,1,8,0,0,0.5588425,3,0,0,0,0.8515614,11,11,0.006899772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2352941,1.197657,1.647059,0.8341798,2,0.5,1,0,0,1,9,2,0,35.4874,0.5,0.4,2,0,1,9,10.26893,1,1,0,0.2352941,0.7724302,79.81903,1.352941,0.71,0,-12,1,0,0,0,0,0,0.4714286,0.5225225,0,1,0.1,1.5,1.5,0.4705882,1,2.456,0,0,6,1,1,1,0,3,8,2,0,8,-24,0,0,1,0.6555751,3,0,0,0,1,0.5266196,3,0,0,0,0,2,1,1,1,6,0,1,-8.68,2,0.8309859,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.4482945,1,0,0,0,0.8085884,11,32,0.000197388,11,22,0.05115403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.05882353,0.8235294,0.1029412,2,0.5,1,0,0,1,9,2,0.342,92.89075,0.5,0.4,2,0,1,9,0,1,0,0,0,1.5,0,1.5,0.5,0,13.696,1,0,0,1,0,0,0.03301887,0.9751553,0.4482759,0,0,0,0,0,1,1,2,1,9,2,0,1,2,1,8,0,0,1,0,0,100,9,0.4032258,0,24,0.008,10,3,0.9032258,10,0,0,0,0,2,0,1,1,5,0,4,-7,0,0.3851351,0.5,0.5,0.9,0,2,0.3288153,0.6626506,0.6626506,0.6626506,0.2424699,-0.2198795,-0.4457831,-0.9759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0.5,3,0,1,1,10,0.2987013,1,10,0,0,0.6774194,5,1,1,0,0.8347013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.05882353,1.306122,0.1836735,2,0.5,1,0,0,1,9,2,0.256,81.52907,0.02,0.056,2,1,1,7,10.8,0.508,0,1,0,1.5,11.264,1.5,0.5,0.4640884,0.256,1,0,2,0,0,0,0.03301887,0.9751553,0,0,0,0,0,0,1,1,2,1,9,0,1,1,2,1,6,0,0.3804348,1,0,0,100,9,0.3586957,3,24,0.008,10,3,0.8478261,10,0,0,0,0,2,1,1,1,5,0,4,-7,0,0.4232558,0.5,0.5,0.9,0,2,0.3288153,0.6626506,0.6626506,0.6626506,0.2424699,-0.2198795,-0.4457831,-0.9759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0.5,3,0,1,1,10,0.2987013,1,8,0,1,0.7826087,8,1,1,0,0.7347013,1,77,-0.8722329,1,52,-1,1,40,1,11,46,-0.2250189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109545,1.5,1.058824,0.7794118,2,0.5,1,0,0,1,9,2,0.25,80,0.5,0.4,2,0,1,9,0,1,0,0,0,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1.5,1.5,0.5,1,1,2,1,6,0,1,1,2,1,9,0,0,8,0,0,10,3,0.5477226,10,5,0,10,3,0.5477226,9,0,0,0,0,2,1,1,1,8,4,4,-7,0,0.5,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,3,0,1,1,6,0.2,1,8,0,0,0.4516129,0,1,0,0,0.70715,13,77,0.261614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109545,0.9795918,1.061224,0.4795918,2,0.5,1,0,0,1,9,2,0.25,80,0.5,0.4,2,0,1,9,0,1,0,0,0,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1.5,1.5,0.5,1,1,2,1,9,6,1,1,2,1,7,0,0,8,0,0,10,3,0.5477226,4,-12,0,10,1,0.5543478,4,0,0,0,0,2,1,1,1,7,0,4,-7,0,0.5,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,3,0,1,1,6,0.2,1,8,0,0,0.2717391,2,1,0,0,0.9071068,11,36,-0.9848071,13,52,0.2168055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109545,0.9795918,1.061224,0.4795918,2,0.5,1,0,0,1,9,2,0.25,80,0.5,0.4,2,0,1,9,0,1,0,0,0,1.5,-1.421085E-14,1.5,0.5,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1.5,1.5,0.5,1,1,2,1,9,6,1,1,2,1,7,0,0,8,0,0,10,3,0.5477226,4,-12,0,10,1,0.5543478,4,0,0,0,0,2,1,1,1,7,0,4,-7,0,0.2651163,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,3,0,1,1,6,0.2,1,8,0,0,0.2717391,2,1,0,0,0.9071068,11,36,-0.9848071,13,52,0.2168055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
